Topic
17
-1
15
-1
36
-1
6
6
8
17
8
17
-1
6
17
36
-1
-1
1
-1
17
13
12
1
-1
13
-1
-1
-1
0
0
7
-1
13
-1
8
8
24
-1
6
12
14
35
7
-1
1
24
1
26
17
7
-1
12
-1
-1
24
25
18
25
0
21
-1
-1
-1
3
-1
5
-1
14
-1
22
3
3
34
17
0
5
2
-1
3
-1
-1
-1
0
5
-1
3
-1
40
-1
2
33
-1
40
16
-1
9
14
3
9
3
3
33
-1
3
29
27
14
0
30
16
25
-1
14
6
26
-1
-1
-1
4
0
0
3
-1
13
-1
14
-1
0
-1
1
6
12
10
10
1
-1
15
30
-1
4
-1
8
-1
-1
4
7
8
1
6
1
-1
39
-1
10
-1
14
-1
7
-1
-1
13
-1
37
10
-1
0
-1
6
1
22
-1
25
-1
25
3
-1
-1
9
9
13
-1
18
3
0
-1
-1
3
31
-1
14
-1
33
-1
2
-1
18
29
23
17
29
-1
3
-1
29
41
5
33
41
18
38
5
0
40
5
-1
40
-1
2
21
-1
-1
18
20
-1
0
11
-1
-1
-1
0
2
16
-1
-1
0
0
1
13
-1
0
-1
0
1
4
-1
6
0
1
0
-1
28
-1
7
-1
-1
30
1
1
0
-1
10
20
-1
12
-1
22
6
11
-1
-1
11
-1
13
1
-1
-1
22
7
26
4
1
20
37
-1
22
0
-1
10
4
6
6
15
6
-1
15
6
0
12
6
0
-1
6
1
6
6
0
15
4
-1
0
-1
-1
0
22
-1
-1
17
7
15
40
17
1
10
1
24
0
1
15
8
-1
-1
-1
0
4
-1
25
-1
25
37
1
-1
-1
-1
-1
-1
-1
-1
2
38
3
-1
3
-1
42
2
-1
3
2
-1
3
-1
0
5
0
3
-1
-1
23
14
3
27
-1
3
42
34
33
16
14
2
27
3
-1
-1
32
-1
37
5
5
29
-1
2
3
-1
0
2
8
-1
28
-1
-1
3
-1
3
41
28
32
0
1
12
17
-1
4
7
-1
0
-1
-1
15
8
12
7
0
22
7
-1
-1
-1
32
-1
3
1
7
-1
1
-1
6
4
36
4
10
1
4
-1
26
12
12
1
0
8
-1
1
18
2
28
10
-1
3
2
33
2
19
2
19
2
2
41
19
-1
28
2
41
-1
-1
-1
-1
-1
15
0
12
5
15
20
-1
20
12
15
0
7
-1
-1
-1
1
22
20
-1
0
0
-1
6
6
39
37
0
-1
-1
-1
10
-1
-1
7
-1
0
-1
0
0
-1
13
27
25
-1
5
-1
38
-1
-1
3
-1
-1
37
-1
28
-1
17
-1
17
38
3
-1
-1
14
-1
-1
16
-1
3
-1
0
3
-1
-1
31
27
0
18
-1
1
23
27
16
2
3
-1
-1
18
0
0
27
-1
2
0
0
5
34
8
-1
5
3
34
5
-1
42
-1
31
-1
3
13
-1
-1
-1
32
38
2
22
-1
5
28
4
-1
30
30
38
-1
-1
-1
1
16
36
-1
-1
4
-1
6
1
1
-1
32
-1
27
30
-1
-1
22
0
8
8
8
1
-1
39
0
-1
24
17
-1
-1
7
4
4
-1
0
0
-1
4
-1
0
0
-1
10
4
8
8
1
26
4
-1
-1
7
39
1
20
18
18
28
28
-1
2
19
-1
0
0
-1
-1
0
-1
3
19
-1
19
33
0
28
23
2
19
5
29
33
0
19
0
-1
5
2
0
-1
16
-1
28
18
9
23
5
8
8
2
2
-1
2
5
-1
28
-1
-1
0
28
2
28
5
9
0
12
-1
2
28
16
28
28
-1
2
-1
22
5
23
19
2
-1
-1
-1
23
12
12
19
19
29
2
16
-1
-1
7
3
11
-1
18
18
19
5
-1
26
-1
3
-1
9
9
-1
11
11
11
-1
11
11
11
11
32
1
32
32
2
11
11
-1
11
11
11
11
2
32
2
10
-1
-1
4
6
-1
1
0
-1
4
-1
-1
-1
26
4
24
13
24
31
35
21
-1
-1
3
34
5
5
2
-1
-1
3
15
9
-1
9
3
10
10
0
-1
15
6
-1
6
3
3
-1
0
-1
-1
-1
4
-1
7
36
4
12
4
4
-1
1
-1
4
36
15
-1
-1
4
22
-1
1
-1
-1
-1
14
-1
10
4
15
8
0
0
1
8
14
-1
7
1
-1
10
39
4
-1
6
17
30
6
10
0
7
37
7
12
10
-1
-1
6
25
12
38
-1
21
-1
-1
34
13
-1
3
8
11
30
3
5
0
14
-1
1
17
2
33
-1
42
42
-1
14
30
29
0
0
-1
-1
23
-1
-1
-1
5
16
-1
9
29
14
16
3
8
-1
0
12
12
16
34
2
35
16
0
6
20
6
6
-1
6
0
1
-1
0
0
0
-1
-1
-1
12
4
-1
8
-1
15
14
1
1
-1
7
26
7
12
4
20
-1
-1
7
4
4
-1
-1
31
29
-1
19
19
19
2
0
2
0
